n_params,,my_signal_loss,monai_signal_loss,my_time,monai_time,,,,
1,['flip_params'],0,0,0.012949944,0.003004313,,,,
1,['translate_params'],469.27362,469.27557,0.474039078,0.93529582,,,,
1,['rotate_params'],344.5216,344.5216,0.587439299,0.585141182,,,,
1,['flip_params'],5.59E-07,2.03E-07,0.468791008,0.010957003,,,,
1,['rotate_params'],341.75797,341.75797,0.591100216,0.584910154,,,,
1,['rotate_params'],345.18222,345.18216,0.467020035,0.468340158,,,,
1,['rotate_params'],349.19083,349.1908,0.528231144,0.530984879,,,,
1,['scale_params'],356.63214,724.9717,0.463645935,0.368863821,,,,
1,['translate_params'],352.28967,352.29184,0.461214066,0.945897818,,,,
1,['flip_params'],3.49E-07,4.30E-08,0.464087725,0.006575108,,,,
1,['flip_params'],5.59E-07,2.03E-07,0.462684155,0.010926962,,,,
1,['rotate_params'],343.74683,343.7468,0.592995882,0.577566862,,,,
1,['translate_params'],589.3269,589.3277,0.463635921,0.923295975,,,,
1,['shear_params'],366.42984,366.42987,0.469818115,0.929858923,,,,
1,['scale_params'],347.59927,709.3605,0.468067169,0.360363007,,,,
1,['rotate_params'],347.45325,347.45334,0.511135101,0.504906178,,,,
1,['shear_params'],364.71548,364.71545,0.470211029,0.918474913,,,,
1,['flip_params'],4.32E-07,1.33E-07,0.46568799,0.007631063,,,,
1,['shear_params'],364.35373,364.35367,0.49071002,0.945726871,,,,
1,['shear_params'],361.35638,361.35632,0.474393845,0.945789099,,,,
1,['shear_params'],360.9599,360.95984,0.516507149,0.971959114,,,,
1,['scale_params'],359.6342,683.9139,0.459176302,0.339100838,,,,
1,['flip_params'],4.32E-07,1.33E-07,0.461117268,0.006947756,,,,
1,['translate_params'],264.7154,264.714,0.461555958,0.90990591,,,,
1,['scale_params'],363.56073,708.0974,0.456803799,0.34335804,,,,
1,['rotate_params'],346.31818,346.31818,0.582397223,0.566920996,,,,
1,['rotate_params'],343.77042,343.77036,0.532907963,0.524936199,,,,
1,['translate_params'],528.14886,528.14465,0.454984903,0.901564837,,,,
1,['rotate_params'],345.56183,345.56183,0.515767097,0.51901412,,,,
1,['rotate_params'],342.0557,342.0557,0.56845212,0.565891981,,,,
1,['flip_params'],0,0,0.006939888,0.002662897,,,,
1,['rotate_params'],347.95325,347.9532,0.554585695,0.555279016,,,,
1,['shear_params'],362.63693,362.63702,0.465728045,0.952638865,,,,
1,['scale_params'],287.29745,703.715,0.457083225,0.335762262,,,,
1,['rotate_params'],346.37378,346.37375,0.63949585,0.63083005,,,,
1,['rotate_params'],345.4979,345.49783,0.472247124,0.474983931,,,,
1,['shear_params'],361.05548,361.05548,0.511333227,0.94288516,,,,
1,['rotate_params'],342.22778,342.22772,0.472023964,0.464197874,,,,
1,['translate_params'],458.6958,458.69986,0.463445187,0.943511009,,,,
1,['scale_params'],411.00845,748.58234,0.454784155,0.298315048,,,,
1,['flip_params'],5.59E-07,2.03E-07,0.460198164,0.010596991,,,,
1,['shear_params'],364.33896,364.33896,0.469691038,0.901812315,,,,
1,['shear_params'],362.84076,362.84073,0.494772911,0.947028875,,,,
1,['translate_params'],390.62143,390.62067,0.458539009,0.953816891,,,,
1,['rotate_params'],344.7151,344.71515,0.51477623,0.509277821,,,,
1,['flip_params'],3.49E-07,4.30E-08,0.460370302,0.006572962,,,,
1,['rotate_params'],346.40903,346.40897,0.490903616,0.480116844,,,,
1,['translate_params'],1189.2081,1189.2048,0.459996939,0.82388401,,,,
1,['translate_params'],360.0043,360.00632,0.49040103,0.96359396,,,,
1,['rotate_params'],346.04285,346.04282,0.520724058,0.50702405,,,,
2,['scale_params', 'shear_params'],350.9758,826.986,0.49518013,1.175585032,,,
2,['flip_params', 'shear_params'],362.90036,362.90036,0.466941833,0.966439247,,,
2,['flip_params', 'rotate_params'],344.17792,344.17804,0.515645027,0.513900995,,,
2,['rotate_params', 'translate_params'],352.15472,555.14703,0.489615202,1.371128798,,,
2,['flip_params', 'scale_params'],364.91214,752.6869,0.458808899,0.336050987,,,
2,['translate_params', 'scale_params'],414.2113,888.21594,0.45599103,1.057415247,,,
2,['flip_params', 'rotate_params'],353.58395,353.58398,0.466410875,0.483429193,,,
2,['shear_params', 'translate_params'],369.87442,655.17645,0.466207981,1.47603488,,,
2,['scale_params', 'translate_params'],368.08417,841.2316,0.455313921,1.091583014,,,
2,['shear_params', 'flip_params'],362.4291,362.42905,0.481175184,0.908986092,,,
2,['rotate_params', 'scale_params'],343.22403,796.8022,0.516406059,0.702515125,,,
2,['rotate_params', 'flip_params'],348.22073,348.2208,0.58206892,0.544610023,,,
2,['translate_params', 'flip_params'],249.6218,249.62543,0.457146168,0.903218031,,,
2,['shear_params', 'flip_params'],362.8931,362.89316,0.490999937,0.931988955,,,
2,['shear_params', 'flip_params'],361.6721,361.67212,0.464153051,0.944286823,,,
2,['shear_params', 'rotate_params'],356.81537,561.47565,0.512950182,1.07720089,,,
2,['flip_params', 'scale_params'],379.3377,734.9306,0.453933954,0.334358215,,,
2,['flip_params', 'rotate_params'],346.33722,346.3371,0.496101856,0.504961014,,,
2,['shear_params', 'translate_params'],395.9388,617.0784,0.492998838,1.510235071,,,
2,['translate_params', 'rotate_params'],347.48856,558.60736,0.67199111,1.557594776,,,
2,['rotate_params', 'translate_params'],352.65747,553.19055,0.468601942,1.380712271,,,
2,['translate_params', 'scale_params'],327.59222,813.5809,0.463864088,1.113615036,,,
2,['flip_params', 'shear_params'],363.01648,363.01636,0.505163193,0.924448967,,,
2,['shear_params', 'translate_params'],363.39713,550.2033,0.478908062,1.494709969,,,
2,['scale_params', 'rotate_params'],385.42676,844.70026,0.481059074,0.638164043,,,
2,['translate_params', 'shear_params'],362.3761,569.2154,0.50633502,1.521008015,,,
2,['rotate_params', 'translate_params'],1830.5073,1943.8818,0.549512863,1.459937811,,,
2,['scale_params', 'shear_params'],375.34125,840.00305,0.518671989,1.081494093,,,
2,['rotate_params', 'shear_params'],355.03436,560.6767,0.608700275,1.190964937,,,
2,['translate_params', 'scale_params'],335.59113,813.7899,0.460268021,1.118780851,,,
2,['flip_params', 'rotate_params'],342.76764,342.76767,0.606030703,0.613571882,,,
2,['scale_params', 'translate_params'],1612.3954,1891.2625,0.455609083,1.138612032,,,
2,['scale_params', 'rotate_params'],375.08514,814.6195,0.610104799,0.809389114,,,
2,['scale_params', 'flip_params'],374.26685,729.8434,0.460549116,0.358900309,,,
2,['translate_params', 'shear_params'],356.61935,576.2907,0.461493015,1.507232904,,,
2,['rotate_params', 'flip_params'],350.48367,350.4837,0.487596035,0.480093002,,,
2,['flip_params', 'shear_params'],365.3859,365.38583,0.52487874,0.959614038,,,
2,['scale_params', 'rotate_params'],346.1585,833.8108,0.597095013,0.774322748,,,
2,['rotate_params', 'translate_params'],346.7479,542.9496,0.608536243,1.487695932,,,
2,['flip_params', 'scale_params'],221.37839,650.8623,0.460708141,0.377817154,,,
2,['scale_params', 'translate_params'],365.42667,806.5624,0.456600904,1.098134995,,,
2,['rotate_params', 'scale_params'],377.0028,699.7784,0.629970074,0.687487125,,,
2,['rotate_params', 'translate_params'],344.18878,530.802,0.597533941,1.464951992,,,
2,['scale_params', 'flip_params'],350.18845,719.00055,0.460777044,0.365110159,,,
2,['scale_params', 'flip_params'],354.53085,690.27167,0.460210085,0.35922575,,,
2,['scale_params', 'flip_params'],314.9027,718.4114,0.463848114,0.357250929,,,
2,['scale_params', 'shear_params'],412.8343,876.53406,0.456253767,1.099639177,,,
2,['translate_params', 'scale_params'],550.99194,932.8983,0.458665133,1.095408916,,,
2,['translate_params', 'rotate_params'],344.74484,663.9402,0.498586893,1.35736084,,,
2,['rotate_params', 'translate_params'],479.9633,579.9561,0.547218084,1.433625221,,,
3,['flip_params', 'shear_params', 'translate_params'],362.2686,570.5524,0.47794795,1.418212891,,
3,['rotate_params', 'shear_params', 'translate_params'],345.281,733.8096,0.53552103,2.060005188,,
3,['translate_params', 'scale_params', 'shear_params'],369.32278,897.587,0.466535091,1.645258904,,
3,['rotate_params', 'flip_params', 'scale_params'],340.30493,784.96643,0.521136999,0.717830181,,
3,['shear_params', 'flip_params', 'scale_params'],426.92294,873.69116,0.462899208,1.05384922,,
3,['shear_params', 'scale_params', 'rotate_params'],1286.8729,1796.7417,0.572583199,1.333627224,,
3,['translate_params', 'shear_params', 'flip_params'],370.49405,475.6465,0.458060026,1.478237867,,
3,['rotate_params', 'translate_params', 'scale_params'],378.7197,1486.8618,0.47665,1.515456676,,
